productName,sector,gtin,manufacturerName,manufacturerCountry,batchId,batteryChemistry,nominalVoltageV,nominalCapacityAh,expectedLifetimeCycles,co2ePerUnitKg,batteryType
No Chemistry Battery,battery,49012345671011,Voltex Battery GmbH,DE,VB-ERR-001,,400.0,188.0,2000,61.2,industrial
Zero Voltage Battery,battery,49012345671028,Voltex Battery GmbH,DE,VB-ERR-002,NMC811,0.0,188.0,2000,61.2,industrial
Negative Capacity Battery,battery,49012345671035,Voltex Battery GmbH,DE,VB-ERR-003,NMC811,400.0,-50.0,2000,61.2,industrial
Zero Lifetime Battery,battery,49012345671042,Voltex Battery GmbH,DE,VB-ERR-004,NMC811,400.0,188.0,0,61.2,industrial
Missing CO2 Battery,battery,49012345671059,Voltex Battery GmbH,DE,VB-ERR-005,NMC811,400.0,188.0,2000,,industrial
No Name Battery,battery,49012345671066,Voltex Battery GmbH,DE,VB-ERR-006,NMC811,400.0,188.0,2000,61.2,industrial
No GTIN Battery,battery,,Voltex Battery GmbH,DE,VB-ERR-007,NMC811,400.0,188.0,2000,61.2,industrial
Text In Voltage Field,battery,04901234567108,Voltex Battery GmbH,DE,VB-ERR-008,NMC811,four hundred,188.0,2000,61.2,industrial
Absurd CO2 Value,battery,49012345671097,Voltex Battery GmbH,DE,VB-ERR-009,NMC811,400.0,188.0,2000,999999.0,industrial
Completely Empty Row,battery,,,DE,,,,,,,,industrial
