productName,productGroup,gtin,manufacturerName,manufacturerCountry,batchId,fibreComposition,countryOfOrigin,careInstructions,chemicalComplianceStandard
Glamor Basic Tee White XS,textile,38012346010011,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee White S,textile,38012346010028,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee White M,textile,38012346010035,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee White L,textile,38012346010042,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee White XL,textile,38012346010059,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Black XS,textile,38012346010066,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Black S,textile,38012346010073,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Black M,textile,38012346010080,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Black L,textile,38012346010097,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Black XL,textile,38012346010103,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Navy XS,textile,38012346010110,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Navy S,textile,38012346010127,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Navy M,textile,38012346010134,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Navy L,textile,38012346010141,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
Glamor Basic Tee Navy XL,textile,38012346010158,Glamor Clothing,DE,BATCH-BULK-001,"[{""fibre"":""cotton"",""pct"":100.0}]",DE,Machine wash 40°C.,OEKO-TEX Standard 100
